SortChem,Site,Date,Time_hr_dst,Depth_m,Distance_km,Elevation_m,Description_Treatment,Catsort,water_type,Temp_C,Cond_uS,pH,Alk_ueqL,PCO2_uatm,PCH4_uatm,CO2_uM,CH4_uM,DOC_uM,NH4_uM,PO4_uM,NO3_uM,TDN_uM,TDP_uM,PC_ugL,PN_ugL,PP_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,SO4_uM,Cl_uM,Oxygen_mgL,Chla_ugL,Phaeopigment_ugL,Chla_Raw_ugL,secchi_m,Thaw_depth_cm,5cm_Soil_tempC,10cm_Soil_tempC,Well_height_cm,Discharge_Lsec,Stage_cm
2011-0017,TW Weir Snow A,15-May-11,16:00,0.1,.,.,.,LTER-LW,PS,.,.,.,.,.,.,.,.,56,.,.,.,5.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0018,TW Weir Snow B,15-May-11,16:00,0.1,.,.,.,LTER-LW,PS,.,.,.,.,.,.,.,.,50,.,.,.,5.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0019,LTER non-acidic plot Snow A,15-May-11,16:30,0.1,.,.,.,LTER-LW,PS,.,.,.,.,.,.,.,.,54,.,.,.,3.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0020,LTER non-acidic plot Snow B,15-May-11,16:30,0.1,.,.,.,LTER-LW,PS,.,.,.,.,.,.,.,.,54,.,.,.,3.67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0042,Toolik Inlet,20-May-11,19:30,0.01,.,719,Toolik Inlet Initial R1,LTER-LW,ST,0.1,48.1,5.3,333,.,.,.,.,995,0.519,0.104,0.868,24.3,.,857,140,1.7,181.4,44.2,5.9,30.2,20.1,.,.,.,.,.,.,.,.,.,.,.,4500,.
2011-0064,Toolik inlet,21-May-11,17:08,0.01,.,719,.,LTER-LW,ST,0.1,56.4,5.9,.,.,.,.,.,1019,.,.,.,22.8,.,.,.,.,231.8,53.1,8.3,24.5,27.9,.,.,.,.,.,.,.,.,.,.,.,13500,.
2011-0065,Toolik inlet,22-May-11,19:40,0.01,.,719,.,LTER-LW,ST,0.3,36,6,.,.,.,.,.,1089,.,.,.,24,.,.,.,.,144.2,33.8,4.9,21.2,17.7,.,.,.,.,.,.,.,.,.,.,.,.,95.1
2011-0078,Toolik Inlet,23-May-11,20:07,0.01,.,719,Toolik Inlet initial R1,LTER-LW,ST,0.3,33.4,5.86,.,.,.,.,.,917,.,.,.,20.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22500,98.8
2011-0081,Toolik Inlet,24-May-11,18:01,0.01,.,719,.,LTER-LW,ST,1.5,35.7,5.87,297,.,.,.,.,803,1.05,0.0182,0.958,20,.,859,112,1.4,146.6,32.2,4.6,13.4,17.7,.,.,.,.,.,.,.,.,.,.,.,.,82.3
2011-0090,Toolik Inlet,25-May-11,14:30,0.01,.,719,.,LTER-LW,ST,2.4,35.2,6.75,.,.,.,.,.,731,.,.,.,18.5,.,.,.,.,143.5,31.3,4.4,11.6,17.9,.,.,.,.,.,.,.,.,.,.,.,.,75.3
