DBCODE,ENTITY,YEAR,SITECODE,SECTION,REACH,PASS,UNITNUM,UNITTYPE,VERT_INDEX,PITNUMBER,SPECIES,LENGTH1,LENGTH2,WEIGHT,CLIP,SAMPLEDATE,NOTES
AS006,1,1987,MACKCC-L,CC,L,1,1,R,1,,ONCL,58,,1.75,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,2,,ONCL,61,,1.95,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,3,,ONCL,89,,5.6,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,4,,ONCL,58,,2.15,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,5,,ONCL,93,,6.9,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,6,,ONCL,86,,5.9,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,7,,ONCL,107,,10.5,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,8,,ONCL,131,,20.6,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,9,,ONCL,103,,9.55,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,10,,ONCL,117,,13,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,11,,ONCL,100,,8.25,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,12,,ONCL,127,,17.7,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,13,,ONCL,99,,8.15,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,14,,ONCL,111,,11.25,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,15,,ONCL,149,,27.15,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,1,R,16,,ONCL,102,,9.25,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,1,,ONCL,53,,1.45,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,2,,ONCL,58,,2.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,3,,ONCL,58,,2.05,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,4,,ONCL,105,,10.85,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,5,,ONCL,145,,22.9,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,6,,ONCL,97,,7.3,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,7,,ONCL,118,,12,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,8,,ONCL,110,,11.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,9,,ONCL,133,,19.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,10,,ONCL,99,,7.75,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,11,,ONCL,93,,7.05,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,12,,ONCL,155,,30.85,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,13,,ONCL,131,,17.65,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,14,,ONCL,120,,13.45,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,15,,ONCL,94,,6.65,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,16,,ONCL,97,,7.6,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,17,,ONCL,98,,7.65,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,18,,ONCL,122,,14.2,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,19,,ONCL,135,,19.7,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,20,,ONCL,186,,49.15,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,21,,ONCL,121,,16.15,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,22,,ONCL,59,,2.25,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,23,,ONCL,91,,6.9,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,24,,ONCL,103,,9.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,25,,ONCL,107,,9.3,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,26,,ONCL,129,,17.5,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,27,,ONCL,92,,6.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,28,,ONCL,93,,8.15,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,29,,ONCL,154,,29.5,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,30,,ONCL,121,,13.95,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,31,,ONCL,63,,2.35,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,32,,ONCL,116,,12.25,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,33,,ONCL,59,,2.35,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,34,,ONCL,48,,1.3,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,35,,ONCL,111,,10.55,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,36,,ONCL,63,,2.05,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,37,,ONCL,96,,7,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,38,,ONCL,62,,2.3,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,39,,ONCL,57,,2.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,40,,ONCL,57,,1.85,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,41,,ONCL,56,,2.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,42,,ONCL,64,,2.45,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,43,,ONCL,58,,1.95,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,44,,ONCL,70,,3.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,2,C,45,,ONCL,68,,2.8,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,3,S,1,,ONCL,83,,5.7,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,3,S,2,,ONCL,55,,1.4,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,1,,ONCL,61,,2.6,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,2,,ONCL,142,,21.3,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,3,,ONCL,121,,14.9,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,4,,ONCL,100,,7.35,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,5,,ONCL,96,,7.35,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,6,,ONCL,158,,30.6,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,7,,ONCL,96,,7.05,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,8,,ONCL,60,,2.1,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,4,P,9,,ONCL,55,,1.75,NONE,10/7/87,
AS006,1,1987,MACKCC-L,CC,L,1,5,C,1,,ONCL,66,,2.95,NONE,10/7/87,
