Code	Indicator Name	Short definition	Long definition	Source	Topic	Periodicity	Aggregation method	Limitations and exceptions	General comments
GC.BAL.CASH.CD	Fiscal balance, cash surplus/deficit (current US$)	Cash surplus or deficit is revenue (including grants) minus expense, minus net acquisition of nonfinancial assets. In the 1986 GFS manual nonfinancial assets were included under revenue and expenditure in gross terms. This cash surplus or deficit is closest to the earlier overall budget balance (still missing is lending minus repayments, which are now a financing item under net acquisition of financial assets).	Cash surplus or deficit is revenue (including grants) minus expense, minus net acquisition of nonfinancial assets. In the 1986 GFS manual nonfinancial assets were included under revenue and expenditure in gross terms. This cash surplus or deficit is closest to the earlier overall budget balance (still missing is lending minus repayments, which are now a financing item under net acquisition of financial assets).	International Monetary Fund, Government Finance Statistics Yearbook and data files.	Public Sector: Government finance: Deficit & financing	Annual			
GCI.10THPILLAR.XQ	10th pillar: Market size	This indicator is a derived from the following indicators: (a) Domestic market size index  (b) Foreign market size index. 	This indicator is a derived from the following indicators: (a) Domestic market size index  (b) Foreign market size index.   	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.11THPILLAR.XQ	11th pillar: Business sophistication	This indicator is a derived from the following indicators:  (a) Local supplier quantity (b) Local supplier quality (c) State of cluster development (d) Nature of competitive advantage (e) Value chain breadth (f)  Control of international distribution (g) Production process sophistication (h) Extent of marketing and (i) Willingness to delegate authority.	This indicator is a derived from the following indicators:  (a) Local supplier quantity (b) Local supplier quality (c) State of cluster development (d) Nature of competitive advantage (e) Value chain breadth (f)  Control of international distribution (g) Production process sophistication (h) Extent of marketing and (i) Willingness to delegate authority.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.12THPILLAR.XQ	12th pillar: Innovation	This indicator is a derived from the following indicators:  (a) Capacity for innovation (b) Quality of scientific research institutions (c) Company spending on Research & Development (d) University-industry collaboration in R&D (e) Government procurement of advanced tech product (f) Availability of scientist and engineers and (g) Utility patents per million population.	This indicator is a derived from the following indicators:  (a) Capacity for innovation (b) Quality of scientific research institutions (c) Company spending on R&D (d) University-industry collaboration in R&D (e) Gov’t procurement of advanced tech product (f) Availability of scientist and engineers and (g) Utility patents per million population.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.1STPILLAR.XQ	1st pillar: Institutions	This indicator is a derived from the following indicators:  (a) Property rights (b) Intellectual property protection (c) Diversion of public funds (d) Public trust of politicians (e) Irregular payments and bribes (f) Judicial independence (g) Favoritism in decisions of government officials (h) Wastefulness of government officials (i) Burden of government regulation (j) Efficiency of legal framework in settling disputes (k) Efficiency of legal framework in challenging regulations (l) Transparency of government policymaking (m) Business costs of terrorism (n) Business costs of crime and violence (o) Organized crime (p) Reliability of police services (q) Ethical behavior of firms (r) Strength of auditing and reporting standards (s) Efficacy of corporate boards (t) Protection of minority shareholders interests and (u) Strength of investor protection.	This indicator is a derived from the following indicators:  (a) Property rights (b) Intellectual property protection (c) Diversion of public funds (d) Public trust of politicians (e) Irregular payments and bribes (f) Judicial independence (g) Favoritism in decisions of government officials (h) Wastefulness of government officials (i) Burden of government regulation (j) Efficiency of legal framework in settling disputes (k) Efficiency of legal framework in challenging regulations (l) Transparency of government policymaking (m) Business costs of terrorism (n) Business costs of crime and violence (o) Organized crime (p) Reliability of police services (q) Ethical behavior of firms (r) Strength of auditing and reporting standards (s) Efficacy of corporate boards (t) Protection of minority shareholders interests and (u) Strength of investor protection.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.2NDPILLAR.XQ	2nd pillar: Infrastructure	This indicator is a derived from the following indicators: (a) Quality of overall infrastructure (b) Quality of roads (c) Quality of railroad infrastructure (d) Quality of port infrastructure (e) Quality of air transport infrastructure (f) Available airline seat kilometers (g) Quality of electricity supply (h) Fixed telephone lines and (i) Mobile telephone subscriptions.	This indicator is a derived from the following indicators: - (a) Quality of overall infrastructure (b) Quality of roads (c) Quality of railroad infrastructure (d) Quality of port infrastructure (e) Quality of air transport infrastructure (f) Available airline seat kilometers (g) Quality of electricity supply (h) Fixed telephone lines and (i) Mobile telephone subscriptions.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.3RDPILLAR.XQ	3rd pillar: Macroeconomic stability	This indicator is a derived from the following indicators: (a) Government budget balance (b) National savings rate (c) Inflation (d) Interest rate spread (e) Government debt and (f) Country credit rating. 	This indicator is a derived from the following indicators: - (a) Government budget balance (b) National savings rate (c) Inflation (d) Interest rate spread (e) Government debt and (f) Country credit rating. 	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.4THPILLAR.XQ	4th pllar: Health and primary education	This indicator is a derived from the following indicators: (a) Business impact of malaria (b) Malaria incidence (c) Business impact of tuberculosis (d) Tuberculosis incidence (e) Business impact of HIV/AIDS (f) HIV prevalence (g) Infant mortality (h) Life expectancy (i) Quality of primary education and (j) Primary education enrollment rate.	This indicator is a derived from the following indicators: - (a) Business impact of malaria (b) Malaria incidence (c) Business impact of tuberculosis (d) Tuberculosis incidence (e) Business impact of HIV/AIDS (f) HIV prevalence (g) Infant mortality (h) Life expectancy (i) Quality of primary education and (j) Primary education enrollment rate.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.5THPILLAR.XQ	5th pillar: Higher education and training	This indicator is a derived from the following indicators: (a) Secondary enrollment (b) Tertiary enrollment (c) Quality of the educational system  (d) Quality of math and science education (e) Quality of management schools (f) Internet access in schools (g) Local availability of research and training services and (h) Extent of staff training.	This indicator is a derived from the following indicators: - (a) Secondary enrollment (b) Tertiary enrollment (c) Quality of the educational system  (d) Quality of math and science education (e) Quality of management schools (f) Internet access in schools (g) Local availibity of research and training services and (h) Extent of staff training.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.6THPILLAR.XQ	6th pillar: Goods market efficiency	This indicator is a derived from the following indicators: (a) Intensity of local competition (b) Extent of market dominance (c) Effectiveness of anti-monopoly policy (d) Extent and effect of taxation (e) Total tax rate  (f) Number of procedures required to start a business (g) Time required to start a business (h) Agricultural policy costs (i) Prevalence of trade barriers (j) Trade tariffs (k) Prevalence of foreign ownership (l) Business impact of rules on FDI (m) Burden of customs procedures (n) Degree of customer orientation and (o) Buyer sophistication.	This indicator is a derived from the following indicators: - (a) Intensity of local competition (b) Extent of market dominance (c) Effectiveness of anti-monopoly policy (d) Extent and effect of taxation (e) Total tax rate  (f) Number of procedures required to start a business (g) Time required to start a business (h) Agricultural policy costs (i) Prevalence of trade barriers (j) Trade tariffs (k) Prevalence of foreign ownership (l) Business impact of rules on FDI (m) Burden of customs procedures (n) Degree of customer orientation and (o) Buyer sophistication.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
