Date,Latitude,Site ,Replicate,carapace_width,MATA,SATA,MATW,SATW
7/24/16,30,GTM,1,12.43,21.792,6.391,24.502,6.121
7/24/16,30,GTM,2,14.18,21.792,6.391,24.502,6.121
7/24/16,30,GTM,3,14.52,21.792,6.391,24.502,6.121
7/24/16,30,GTM,4,12.94,21.792,6.391,24.502,6.121
7/24/16,30,GTM,5,12.45,21.792,6.391,24.502,6.121
7/24/16,30,GTM,6,12.99,21.792,6.391,24.502,6.121
7/24/16,30,GTM,7,10.32,21.792,6.391,24.502,6.121
7/24/16,30,GTM,8,11.19,21.792,6.391,24.502,6.121
7/24/16,30,GTM,9,12.68,21.792,6.391,24.502,6.121
7/24/16,30,GTM,11,14.55,21.792,6.391,24.502,6.121
7/24/16,30,GTM,12,14.92,21.792,6.391,24.502,6.121
7/24/16,30,GTM,13,13.48,21.792,6.391,24.502,6.121
7/24/16,30,GTM,14,13.76,21.792,6.391,24.502,6.121
7/24/16,30,GTM,15,13.1,21.792,6.391,24.502,6.121
7/24/16,30,GTM,16,13.56,21.792,6.391,24.502,6.121
7/24/16,30,GTM,17,13.51,21.792,6.391,24.502,6.121
7/24/16,30,GTM,18,12.12,21.792,6.391,24.502,6.121
7/24/16,30,GTM,19,14.33,21.792,6.391,24.502,6.121
7/24/16,30,GTM,20,12.52,21.792,6.391,24.502,6.121
7/24/16,30,GTM,21,12.03,21.792,6.391,24.502,6.121
7/24/16,30,GTM,22,11.84,21.792,6.391,24.502,6.121
7/24/16,30,GTM,23,7.55,21.792,6.391,24.502,6.121
7/24/16,30,GTM,24,12.59,21.792,6.391,24.502,6.121
7/24/16,30,GTM,25,10.05,21.792,6.391,24.502,6.121
7/24/16,30,GTM,26,13,21.792,6.391,24.502,6.121
7/24/16,30,GTM,27,11.29,21.792,6.391,24.502,6.121
7/24/16,30,GTM,28,11.58,21.792,6.391,24.502,6.121
7/24/16,30,GTM,29,7.81,21.792,6.391,24.502,6.121
7/26/16,31.4,SI,1,9.26,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,2,12.58,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,3,10.51,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,4,8.09,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,5,10.96,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,6,9.55,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,7,7.28,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,8,12.66,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,9,6.64,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,10,10.56,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,11,10.62,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,12,11.11,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,13,13.39,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,14,7.65,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,15,10.33,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,16,6.91,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,17,9.45,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,18,7.96,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,19,8.86,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,20,13.63,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,21,9.55,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,22,10.75,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,23,9.09,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,24,9.09,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,25,9.08,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,26,9.73,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,27,8.88,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,28,11.42,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,29,10.86,20.83,7.414,22.064,6.495
7/26/16,31.4,SI,30,9.18,20.83,7.414,22.064,6.495
7/28/16,33.3,NIB,1,14.53,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,2,17.29,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,3,14.69,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,4,12.57,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,5,12.89,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,6,15.14,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,7,16.99,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,8,14.01,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,9,15.32,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,10,8.52,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,11,11.98,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,12,13.71,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,13,8.84,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,14,10.77,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,15,12.71,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,16,15.31,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,17,10.55,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,18,12.87,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,19,17.04,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,20,14.47,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,21,13.63,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,22,10.34,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,23,15.82,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,24,11.45,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,25,15.88,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,26,12.7,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,27,11.95,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,28,15.67,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,29,11.4,18.967,7.99,21.144,7.164
7/28/16,33.3,NIB,30,9.72,18.967,7.99,21.144,7.164
7/29/16,34,ZI,1,14.71,18.631,8.397,20.234,7.651
7/29/16,34,ZI,2,12.5,18.631,8.397,20.234,7.651
7/29/16,34,ZI,3,14.73,18.631,8.397,20.234,7.651
7/29/16,34,ZI,4,13.05,18.631,8.397,20.234,7.651
7/29/16,34,ZI,5,12.74,18.631,8.397,20.234,7.651
7/29/16,34,ZI,6,12.18,18.631,8.397,20.234,7.651
7/29/16,34,ZI,7,13.64,18.631,8.397,20.234,7.651
7/29/16,34,ZI,8,13.96,18.631,8.397,20.234,7.651
7/29/16,34,ZI,9,15.74,18.631,8.397,20.234,7.651
7/29/16,34,ZI,10,13.73,18.631,8.397,20.234,7.651
7/29/16,34,ZI,11,14.31,18.631,8.397,20.234,7.651
7/29/16,34,ZI,12,13.39,18.631,8.397,20.234,7.651
7/29/16,34,ZI,13,11.91,18.631,8.397,20.234,7.651
7/29/16,34,ZI,14,9.81,18.631,8.397,20.234,7.651
7/29/16,34,ZI,15,10.38,18.631,8.397,20.234,7.651
7/29/16,34,ZI,16,11.27,18.631,8.397,20.234,7.651
7/29/16,34,ZI,17,11.62,18.631,8.397,20.234,7.651
7/29/16,34,ZI,18,12.8,18.631,8.397,20.234,7.651
7/29/16,34,ZI,19,11.41,18.631,8.397,20.234,7.651
7/29/16,34,ZI,20,13.88,18.631,8.397,20.234,7.651
7/29/16,34,ZI,21,11.1,18.631,8.397,20.234,7.651
7/29/16,34,ZI,22,11.65,18.631,8.397,20.234,7.651
7/29/16,34,ZI,23,9.95,18.631,8.397,20.234,7.651
7/29/16,34,ZI,24,9.87,18.631,8.397,20.234,7.651
7/29/16,34,ZI,25,8.29,18.631,8.397,20.234,7.651
7/29/16,34,ZI,26,8.45,18.631,8.397,20.234,7.651
7/29/16,34,ZI,27,15.1,18.631,8.397,20.234,7.651
7/29/16,34,ZI,28,11.69,18.631,8.397,20.234,7.651
7/29/16,34,ZI,29,9.86,18.631,8.397,20.234,7.651
7/29/16,34,ZI,30,8.05,18.631,8.397,20.234,7.651
7/29/16,34,ZI,31,10.58,18.631,8.397,20.234,7.651
7/29/16,34,ZI,32,13.51,18.631,8.397,20.234,7.651
7/29/16,34,ZI,33,10.34,18.631,8.397,20.234,7.651
7/29/16,34,ZI,34,11.96,18.631,8.397,20.234,7.651
7/29/16,34,ZI,35,14.07,18.631,8.397,20.234,7.651
8/1/16,34.7,RC,1,14.19,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,2,11.17,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,3,13.88,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,4,17.64,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,5,17.41,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,6,12.59,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,7,13.62,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,8,16.37,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,9,13.04,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,10,10.19,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,11,14.98,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,12,13.35,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,13,11.83,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,14,11.81,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,15,13.59,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,16,11.05,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,17,12.5,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,18,12.09,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,19,11.44,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,20,10.41,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,21,10.19,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,22,9.41,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,23,9.4,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,24,10.09,18.631,8.397,20.54,6.998
8/1/16,34.7,RC,25,10.05,18.631,8.397,20.54,6.998
8/9/16,37.2,VCR,1,21.29,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,2,19.36,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,3,18.3,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,4,17.33,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,5,20.78,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,6,21.35,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,7,19.15,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,8,11.66,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,9,18.71,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,10,19.76,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,11,18.79,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,12,14.2,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,13,19.01,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,14,12.94,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,15,13.3,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,16,19.9,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,17,16.7,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,18,15.04,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,19,14.93,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,20,14.04,14.95,8.41,17.56,8.43
8/9/16,37.2,VCR,21,16.11,14.95,8.41,17.56,8.43
