"survey_id","site_id","species_id","distance","bird_count","notes","seen","heard","direction"
144,"LI-S","HOSP","5-10",4,"",1,1,"NE"
145,"LI-W","HOSP","20-40",10,"",0,1,"E "
145,"LI-W","AUWA","20-40",2,"",0,1,"SE"
145,"LI-W","RODO","FT",2,"",1,0,"E "
145,"LI-W","GTGR",">40",2,"",0,1,"NE"
145,"LI-W","WCSP","20-40",3,"",0,1,"N "
145,"LI-W","WCSP","20-40",3,"",0,1,"E "
145,"LI-W","GTGR","FT",2,"",1,1,"E "
145,"LI-W","RODO","FT",2,"",1,0,"S "
145,"LI-W","MODO","FT",3,"",1,0,"E "
145,"LI-W","NOMO","20-40",1,"",1,0,"NE"
145,"LI-W","HOSP",">40",10,"",0,1,"NE"
145,"LI-W","WCSP","20-40",3,"",1,1,"SE"
146,"LI-E","NOMO","20-40",1,"",1,1,"W "
146,"LI-E","HOSP","20-40",6,"",0,1,"NE"
146,"LI-E","HOSP","10-20",6,"",1,1,"SE"
146,"LI-E","RODO","20-40",20,"",1,0,"W "
146,"LI-E","HOSP","20-40",12,"",0,1,"S "
146,"LI-E","EUST","20-40",2,"",1,1,"S "
146,"LI-E","GTGR","20-40",2,"",0,1,"SW"
146,"LI-E","RODO","20-40",10,"",1,0,"SW"
146,"LI-E","ANHU","10-20",1,"",0,1,"W "
146,"LI-E","RODO","FT",3,"",1,0,"NE"
146,"LI-E","HOSP","20-40",10,"",0,1,"E "
146,"LI-E","RODO",">40",2,"",1,0,"E "
146,"LI-E","CBTH","10-20",1,"",1,1,"NW"
147,"NU-C","MODO","20-40",9,"",1,0,"N "
147,"NU-C","INDO","20-40",6,"",1,0,"NW"
147,"NU-C","HOSP","20-40",15,"",0,1,"NW"
147,"NU-C","GTGR","20-40",4,"",1,0,"N "
147,"NU-C","GTGR","20-40",10,"",1,1,"E "
147,"NU-C","HOSP","10-20",10,"",0,1,"W "
147,"NU-C","RODO","10-20",4,"",1,0,"S "
147,"NU-C","HOSP","10-20",6,"",1,1,"S "
147,"NU-C","RODO","FT",4,"",1,0,"N "
147,"NU-C","HOSP","20-40",10,"",0,1,"SW"
148,"LO-C","AUWA","10-20",3,"",1,0,"N "
148,"LO-C","AUWA","5-10",2,"",0,1,"W "
148,"LO-C","HOSP","20-40",3,"",0,1,"N "
148,"LO-C","GTGR","10-20",3,"",1,0,"NW"
148,"LO-C","MODO","20-40",2,"",1,0,"NE"
148,"LO-C","GIWO",">40",1,"",0,1,"S "
148,"LO-C","WCSP","10-20",5,"",1,0,"S "
148,"LO-C","GTGR","5-10",1,"",1,0,"E "
148,"LO-C","EUST","20-40",2,"",0,1,"NE"
148,"LO-C","HOSP","20-40",4,"",1,1,"E "
148,"LO-C","RODO","20-40",12,"",1,0,"SW"
148,"LO-C","GTGR","20-40",12,"",1,0,"SW"
148,"LO-C","INDO","10-20",4,"",0,1,"E "
148,"LO-C","INDO","20-40",5,"",0,1,"NW"
148,"LO-C","EUST","10-20",3,"",1,0,"S "
148,"LO-C","HOFI","FT",3,"",1,0,"N "
148,"LO-C","NOMO","10-20",1,"",1,0,"N "
148,"LO-C","INDO",">40",2,"",1,0,"N "
148,"LO-C","RODO","5-10",4,"",1,0,"W "
148,"LO-C","HOFI","10-20",2,"",1,0,"E "
148,"LO-C","WCSP","20-40",2,"",1,0,"N "
148,"LO-C","CBTH",">40",1,"",0,1,"NW"
149,"LO-N","VERD","10-20",1,"",1,0,"S "
149,"LO-N","ANHU","10-20",1,"",0,1,"SE"
149,"LO-N","GIWO","20-40",1,"",1,0,"SW"
149,"LO-N","HOSP","10-20",3,"",0,1,"SW"
149,"LO-N","MODO","20-40",5,"",0,1,"E "
149,"LO-N","HOSP","5-10",3,"",1,0,"E "
149,"LO-N","HOFI","20-40",3,"",0,1,"E "
149,"LO-N","EUST","20-40",4,"",0,1,"N "
149,"LO-N","EUST",">40",1,"",1,0,"N "
149,"LO-N","MODO","FT",2,"",1,0,"S "
149,"LO-N","EUST","FT",7,"",1,0,"S "
149,"LO-N","HOSP","20-40",3,"",0,1,"W "
149,"LO-N","AUWA","20-40",2,"",1,0,"NW"
1,"EA-C","HOSP","5-10",10,"in olive trees",1,1,"N "
1,"EA-C","GTGR","5-10",1,"",1,1,"N "
1,"EA-C","MODO","FT",3,"",1,0,"N "
1,"EA-C","MODO","FT",6,"",1,0,"NE"
1,"EA-C","RODO","FT",3,"",1,0,"NE"
15,"CA-C","AUWA","10-20",3,"",0,1,"NE"
3,"WR-C","HOFI",">40",6,"",0,1,"W "
3,"WR-C","HOFI","20-40",4,"",0,1,"SE"
3,"WR-C","HOSP","20-40",6,"",0,1,"S "
3,"WR-C","MODO",">40",6,"",1,0,"N "
3,"WR-C","HOFI",">40",3,"",0,1,"E "
3,"WR-C","MODO","FT",9,"",1,0,"NE"
3,"WR-C","ANHU","20-40",1,"",0,1,"S "
3,"WR-C","MODO",">40",6,"",1,0,"NW"
3,"WR-C","MODO","FT",1,"",1,0,"N "
3,"WR-C","VERD",">40",1,"",0,1,"S "
3,"WR-C","NOMO",">40",1,"",1,0,"N "
3,"WR-C","EUST","FT",1,"",1,0,"S "
16,"PA-S","HOSP","20-40",6,"",0,1,"NW"
16,"PA-S","INDO","10-20",1,"",1,0,"SW"
16,"PA-S","HOSP","20-40",4,"",0,1,"W "
16,"PA-S","HOFI","FT",2,"",1,1,"S "
16,"PA-S","INDO","20-40",2,"",1,0,"N "
16,"PA-S","EUST","20-40",3,"",1,1,"N "
16,"PA-S","GTGR",">40",1,"",0,1,"W "
16,"PA-S","INDO","FT",1,"",1,0,"NE"
4,"SO-C","GHJU","20-40",12,"",1,1,"S "
4,"SO-C","RODO","20-40",3,"",1,0,"S "
4,"SO-C","RODO","20-40",2,"",1,0,"E "
4,"SO-C","HOFI","10-20",4,"",1,1,"S "
4,"SO-C","ANHU","10-20",1,"",0,1,"S "
4,"SO-C","GTGR",">40",2,"",0,1,"NW"
4,"SO-C","RODO","10-20",2,"",1,0,"N "
4,"SO-C","ANHU","20-40",1,"",0,1,"S "
4,"SO-C","EUST","20-40",4,"",1,0,"S "
17,"CH-E","VERD","10-20",1,"",0,1,"N "
17,"CH-E","GTGR","20-40",2,"",0,1,"NW"
17,"CH-E","HOSP",">40",6,"",0,1,"N "
17,"CH-E","CBTH",">40",1,"",0,1,"N "
17,"CH-E","HOSP","10-20",2,"",1,1,"NW"
17,"CH-E","MODO","FT",2,"",1,0,"NW"
5,"CG-C","HOSP",">40",15,"",0,1,"W "
5,"CG-C","GTGR",">40",2,"",0,1,"W "
5,"CG-C","EUST",">40",2,"",0,1,"NE"
5,"CG-C","CBTH",">40",1,"",0,1,"W "
5,"CG-C","VERD",">40",1,"",0,1,"NW"
5,"CG-C","GIWO","20-40",1,"",0,1,"SW"
5,"CG-C","VERD","20-40",1,"",0,1,"S "
5,"CG-C","ORJU","20-40",2,"",1,1,"SW"
5,"CG-C","ORJU","FT",1,"",1,1,"N "
18,"WT-E","ANHU","10-20",1,"",1,1,"N "
18,"WT-E","EUST","10-20",1,"",1,1,"N "
18,"WT-E","HOSP","20-40",10,"",0,1,"SE"
18,"WT-E","EUST","10-20",2,"",1,1,"SE"
18,"WT-E","HOFI","10-20",2,"",0,1,"NE"
18,"WT-E","NOMO","20-40",1,"",1,0,"NE"
18,"WT-E","HOSP","20-40",12,"",0,1,"NE"
22,"AT-W","EUST","10-20",3,"",1,0,"E "
22,"AT-W","MODO","10-20",2,"",1,0,"E "
22,"AT-W","RODO","20-40",3,"",1,0,"SW"
22,"AT-W","NOMO","5-10",1,"",1,0,"N "
22,"AT-W","INDO","20-40",13,"3 heard only, 10 seen only",1,1,"N "
22,"AT-W","KILL",">40",2,"in school field",1,0,"S "
22,"AT-W","VERD","20-40",2,"",1,0,"N "
22,"AT-W","ORJU",">40",2,"actually says DEJU, not ORJU",1,0,"NW"
22,"AT-W","BCHU","20-40",1,"",0,1,"N "
22,"AT-W","GTGR",">40",2,"",1,0,"S "
22,"AT-W","ORJU","20-40",1,"actually says DEJU, not ORJU",0,0,"W "
6,"AT-C","HOSP","20-40",3,"",0,1,"E "
6,"AT-C","HOSP","20-40",3,"",1,0,"NW"
1,"EA-C","HOSP","10-20",3,"",1,1,"N "
1,"EA-C","EUST","10-20",1,"",0,1,"N "
1,"EA-C","RODO","10-20",1,"",1,0,"N "
1,"EA-C","RODO",">40",2,"",1,0,"NE"
1,"EA-C","MODO","FT",5,"",1,0,"E "
1,"EA-C","HOSP","5-10",1,"",1,1,"E "
1,"EA-C","EUST","10-20",2,"",1,1,"NW"
1,"EA-C","MODO","5-10",4,"",1,0,"W "
1,"EA-C","HOSP","5-10",1,"",1,0,"W "
1,"EA-C","INDO","5-10",2,"",1,0,"W "
1,"EA-C","HOSP","0-5",3,"",1,1,"W "
1,"EA-C","GTGR","10-20",2,"",1,1,"W "
