"site_id","survey_id","survey_date","time_start","time_end","observer","wind_speed","wind_dir","air_temp","temp_units","cloud_cover","notes"
"EA-C",1,"2001-01-11 00:00:00","1899-12-30 11:15:00","1899-12-30 11:30:00","D. Stuart",15,"",50,"F",40,"View S blocked by stage.  View E partly blocked by building.
'Some transients sleeping on grass to north.'"
"EA-W",2,"2001-01-11 00:00:00","1899-12-30 10:50:00","1899-12-30 11:05:00","D. Stuart",15,"",50,"F",40,""
"WR-C",3,"2000-12-08 00:00:00","1899-12-30 09:40:00","1899-12-30 09:55:00","B. Rambo",0,"",50,"F",0,""
"SO-C",4,"2000-12-12 00:00:00","1899-12-30 09:35:00","1899-12-30 09:50:00","B. Rambo",5,"E",45,"F",10,""
"CG-C",5,"2000-12-13 00:00:00","1899-12-30 09:35:00","1899-12-30 09:50:00","B. Rambo",5,"E",45,"F",20,""
"AT-C",6,"2000-12-29 00:00:00","1899-12-30 07:55:00","1899-12-30 08:10:00","J. Lemmer",0,"",42,"F",0,""
"LO-C",7,"2001-01-18 00:00:00","1899-12-30 07:35:00","1899-12-30 07:50:00","D. Stuart",0,"",30,"F",0,"lots of traffic noise from the ind. School.  School buses on 28th St."
"ED-N",8,"2001-01-18 00:00:00","1899-12-30 08:05:00","1899-12-30 08:20:00","D. Stuart",0,"",30,"F",0,"lots of traffic on 19th St., barking dog, man on bike"
"ED-C",9,"2001-01-18 00:00:00","1899-12-30 08:30:00","1899-12-30 08:45:00","D. Stuart",0,"",30,"F",0,"freeway noise from east.  Trash truck on Roosevelt to North -- loud."
"WT-C",10,"2001-01-04 00:00:00","1899-12-30 07:40:00","1899-12-30 07:55:00","J. Lemmer",0,"",46,"F",0,""
"SO-W",11,"2001-01-03 00:00:00","1899-12-30 10:23:00","1899-12-30 10:38:00","J. Lemmer",7,"E",65,"F",0,""
"PA-N",12,"2000-12-31 00:00:00","1899-12-30 09:18:00","1899-12-30 09:33:00","J. Lemmer",0,"",53,"F",0,""
"WR-S",13,"2000-12-31 00:00:00","1899-12-30 09:58:00","1899-12-30 10:15:00","J. Lemmer",0,"",55,"F",10,"talked to neighbors for 2 minutes.  Traffic from people leaving houses."
"DW-N",14,"2000-12-28 00:00:00","1899-12-30 08:50:00","1899-12-30 09:05:00","J. Lemmer",0,"",40,"F",0,""
"CA-C",15,"2000-12-28 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","J. Lemmer",0,"",55,"F",0,""
"PA-S",16,"2000-12-08 00:00:00","1899-12-30 09:10:00","1899-12-30 09:25:00","B. Rambo",0,"",50,"F",0,""
"CH-E",17,"2000-12-12 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","B. Rambo",15,"E",45,"F",10,""
"WT-E",18,"2000-12-13 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","B. Rambo",5,"E",45,"F",10,""
"AT-S",19,"2000-12-29 00:00:00","1899-12-30 08:45:00","1899-12-30 09:00:00","J. Lemmer",0,"",49,"F",0,""
"CA-E",20,"2000-12-28 00:00:00","1899-12-30 10:53:00","1899-12-30 11:08:00","J. Lemmer",0,"",58,"F",0,"people present 11:07 am"
"CA-S",21,"2000-12-29 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","J. Lemmer",0,"",65,"F",0,""
"AT-W",22,"2000-12-29 00:00:00","1899-12-30 09:35:00","1899-12-30 09:50:00","J. Lemmer",0,"",55,"F",0,""
"AT-N",23,"2000-12-29 00:00:00","1899-12-30 09:10:00","1899-12-30 09:25:00","J. Lemmer",0,"",50,"F",0,"Verdin observed to the East here, but no number or distance information was entered on datasheet."
"CA-N",24,"2000-12-29 00:00:00","1899-12-30 10:26:00","1899-12-30 10:45:00","J. Lemmer",0,"",58,"F",0,"People taling 4 minutes at the courner of 43rd and Williams.  Lots of children playing.  Unid. Species:  flycatcher or cardinal, top notch, rust underwings and grey top, a little white ____ on chest.  Seen at 20-40m, 1 individual, to west."
"CA-W",25,"2000-12-29 00:00:00","1899-12-30 11:15:00","1899-12-30 11:30:00","J. Lemmer",0,"",65,"F",0,"AUWA seen or heard to the S, but no number or distance information given."
