"species_id","common_name","asu_itis"
"ABTO","Abert's Towhee",208475
"AMCO","American Coot",142696
"AMGO","American Goldfinch",207867
"AMKE","American Kestrel",122194
"AMPI","American Pipit",
"AMRO","American Robin",212184
"AMWI","American Wigeon",118948
"ANHU","Anna's Hummingbird",183554
"ATFL","Ash-throated Flycatcher",185497
"AUWA","Audubon's Warbler",
"BARS","Barn Swallow",186511
"BBLH","Broad-billed Hummingbird",183635
"BCFL","Brown-crested Flycatcher",185488
"BCHU","Black-chinned Hummingbird",183551
"BCNH","Black-crowned Night Heron",
"BCSP","Black-chinned Sparrow",209379
"BEKI","Belted Kingfisher",184220
"BETH","Bendire's Thrasher",188326
"BEVI","Bell's Vireo",206638
"BEWR","Bewick's Wren",187415
"BGGN","Blue-gray Gnatcatcher",213239
"BHCO","Brown-headed Cowbird",207257
"BHGR","Black-headed Grosbeak",207301
"BLGR","Blue Grosbeak",207306
"BLPH","Black Phoebe",185542
"BNST","Black-necked Stilt",145654
"BRBL","Brewer's Blackbird",206781
"BROC","Bronzed Cowbird",207261
"BRSP","Brewer's Sparrow",209356
"BTGN","Black-tailed Gnatcatcher",
"BTLH","Broad-tailed Hummingbird",183556
"BTSP","Black-throated Sparrow",208732
"BTYW","Black-throated Gray Warbler",190817
"BUFF","Bufflehead",119394
"BUOR","Bullock's Oriole",
"BUSH","Bushtit",189583
"BWTE","Blue-winged Teal",118913
"CACW","Cactus Wren",187513
"CAGO","Canada Goose",266734
"CAKI","Cassin's Kingbird",184940
"CANT","Canyon Towhee",
"CANW","Canyon Wren",188228
"CBHA","Common Black Hawk",
"CBTH","Curve-billed Thrasher",188330
"CEDW","Cedar Waxwing",187267
"CHSP","Chipping Sparrow",209333
"CITE","Cinnamon Teal",118917
"CLSW","Cliff Swallow",186547
"COCA","Common Canary",210117
"COFL","Cordilleran Flycatcher",
"COGD","Common Ground-Dove",162611
"COHA","Cooper's Hawk",120218
"COHU","Costa's Hummingbird",183553
"CONI","Common Nighthawk",169224
"COPO","Common Poorwill",
"CORA","Common Raven",212045
"COSN","Common Snipe",145554
"COTE","Cockatiel",
"COYE","Common Yellowthroat",191782
"DCCO","Double-crested Cormorant",265053
"DCFL","Dusky-capped Flycatcher",185501
"DODU","Domesticated Duck",
"DOGO","Domesticated Goose",
"DUFL","Dusky Flycatcher",185603
"EAGR","Eared Grebe",263181
"EMPI","Empidonax species",
"EUST","European Starling",211002
"EUWI","Eurasian Wigeon",118944
"GAQU","Gambel's Quail",123655
"GBHE","Great Blue Heron",265400
"GHJU","Gray-headed Junco",
"GHOW","Great Horned Owl",168282
"GIFL","Gilded Flicker",
"GIWO","Gila Woodpecker",184368
"GREG","Great Egret",265663
"GRFL","Gray Flycatcher",185605
"GRHE","Green Heron",
"GRRO","Greater Roadrunner",168085
"GRVI","Gray Vireo",206643
"GRYE","Greater Yellowlegs",144865
"GTGR","Great-tailed Grackle",207250
"GTTO","Green-tailed Towhee",208487
"GWCS","Gambel's White-crowned Sparrow",
"HAFL","Hammond's Flycatcher",175101
"HERG","Herring Gull",146385
"HETH","Hermit Thrush",212264
"HEWA","Hermit Warbler",191581
"HOFI","House Finch",207403
"HOGR","Horned Grebe",263174
"HOLA","Horned Lark",175107
"HOOR","Hooded Oriole",206706
"HOSP","House Sparrow",210964
"HOWR","House Wren",187312
"HRSH","Harris Hawk",
"HUVI","Hutton's Vireo",191990
"INDO","Inca Dove",162627
"KILL","Killdeer",144233
"LABU","Lazuli Bunting",207316
"LARB","Lark Bunting",208489
"LASP","Lark Sparrow",208664
"LAZB","Lazuli Bunting",207316
"LBWO","Ladder-backed Woodpecker",184885
"LCTH","Le Conte's Thrasher",188371
"LEGO","Lesser Goldfinch",207863
"LENI","Lesser Nighthawk",169249
