tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1967-065,2439671.38,6/29/67,1967,Thor Burner 2,,Secor Type II S/N 10,US,US,O,state
1967-080,2439725.7,8/23/67,1967,Thor Burner 2,,DAPP 3419,US,US,O,state
1967-096,2439774.83,10/11/67,1967,Thor Burner 2,,DAPP 4417,US,US,O,state
1968-042,2439999.69,5/23/68,1968,Thor Burner 2,,DAPP 5420,US,US,O,state
1968-092,2440152.69,10/23/68,1968,Thor Burner 2,,DAPP 6422,US,US,O,state
1969-062,2440425.69,7/23/69,1969,Thor Burner 2,,DAPP 7421,US,US,O,state
1970-012,2440628.86,2/11/70,1970,Thor Burner 2,,DAPP Block 5A F-1,US,US,O,state
1970-070,2440832.86,9/3/70,1970,Thor Burner 2,,DAPP Block 5A F-2,US,US,O,state
1971-012,2440999.66,2/17/71,1971,Thor Burner 2,,DAPP Block 5A F-3,US,US,O,state
1971-054,2441111.08,6/8/71,1971,Thor Burner 2,,P70-1,US,US,O,state
1971-087,2441238.83,10/14/71,1971,Thor Burner 2A,,DMSP Block 5B F-1 (SV-2),US,US,O,state
1972-018,2441400.87,3/24/72,1972,Thor Burner 2A,,DMSP Block 5B F-2 (SV-1),US,US,O,state
1972-089,2441630.64,11/9/72,1972,Thor Burner 2A,,DMSP Block 5B F-3,US,US,O,state
1973-054,2441911.7,8/17/73,1973,Thor Burner 2A,,DMSP Block 5B F-4,US,US,O,state
1974-015,2442122.83,3/16/74,1974,Thor Burner 2A,,DMSP Block 5B F-5,US,US,O,state
1974-063,2442268.64,8/9/74,1974,Thor Burner 2A,,DMSP Block 5C F-1,US,US,O,state
1975-043,2442556.64,5/24/75,1975,Thor Burner 2A,,DMSP Block 5C F-2,US,US,O,state
1976-016,2442827.83,2/19/76,1976,Thor Burner 2A,,DMSP Block 5C F-3,US,US,O,state
1976-091,2443032.83,9/11/76,1976,Thor DSV-2U,,DMSP Block 5D S-1,US,US,O,state
1977-044,2443299.62,6/5/77,1977,Thor DSV-2U,,DMSP Block 5D S-2,US,US,O,state
1978-042,2443629.63,5/1/78,1978,Thor DSV-2U,,DMSP Block 5D S-3,US,US,O,state
1979-050,2444031.27,6/6/79,1979,Thor DSV-2U,,DMSP Block 5D S-5,US,US,O,state
1998-032,2450951.39,5/17/98,1998,Delta 7920-10C,,Iridium SV070,US,US,O,state
1998-035,2450974.52,6/10/98,1998,Delta 7925-9.5,,Thor 3,US,US,O,state
1998-051,2451065.38,9/8/98,1998,Delta 7920-10C,,Iridium SV082,US,US,O,state
1998-061,2451111.01,10/24/98,1998,Delta 7326-9.5,,Deep Space 1,US,US,O,state
1998-066,2451124.07,11/6/98,1998,Delta 7920-10C,,Iridium SV087,US,US,O,state
1998-068,2451140.5,11/22/98,1998,Delta 7925-9.5,,BONUM-1,US,US,O,state
1998-073,2451159.28,12/11/98,1998,Delta 7425-9.5,,MCO,US,US,O,state
1999-001,2451182.35,1/3/99,1999,Delta 7425-9.5,,MPL,US,US,O,state
1999-003,2451217.38,2/7/99,1999,Delta 7426-9.5,,Stardust,US,US,O,state
1999-008,2451232.94,2/23/99,1999,Delta 7920-10,,P91-1,US,US,O,state
1999-020,2451284.27,4/15/99,1999,Delta 7920-10,,Landsat 7,US,US,O,state
1999-024,2451303.54,5/5/99,1999,Delta 8930,,Orion 3,US,US,O,state
1999-031,2451340.08,6/10/99,1999,Delta 7420-10C,,Globalstar M025,US,US,O,state
1999-035,2451354.16,6/24/99,1999,Delta 7320-10,,Far UV Spec. Explorer,US,US,O,state
1999-037,2451369.87,7/10/99,1999,Delta 7420-10C,,Globalstar M035,US,US,O,state
