geoID,tractCE,nameLSAD,countTested,pctElevated,totalPop,totalPop_MOE,white,white_MOE,black,black_MOE,povertyTot,povertyTot_MOE,povertyU18,povertyU18_MOE
29510118100,118100,Census Tract 1181,345,9.57,1161,192,414,100,724,179,324,140,109,105
29510117400,117400,Census Tract 1174,871,12.06,4307,447,2604,303,1338,374,615,255,169,156
29510126700,126700,Census Tract 1267,458,18.12,1089,199,432,116,631,187,506,164,98,60
29510119102,119102,Census Tract 1191.02,182,2.2,3237,309,2008,262,646,210,958,234,15,25
29510126800,126800,Census Tract 1268,486,4.73,3490,231,3026,270,194,98,349,129,35,47
29510126900,126900,Census Tract 1269,1296,15.66,4590,826,148,217,4320,760,1743,825,627,595
29510108100,108100,Census Tract 1081,903,11.41,3144,464,108,111,3020,442,652,305,256,136
29510127000,127000,Census Tract 1270,585,10.94,2052,273,304,82,1739,283,331,156,47,79
29510127400,127400,Census Tract 1274,2116,3.12,5486,516,1777,391,3603,621,2524,598,1110,318
29510103700,103700,Census Tract 1037,417,3.36,2408,274,2149,212,156,190,254,88,15,23
29510103800,103800,Census Tract 1038,758,3.03,3902,279,3444,271,340,259,195,78,27,30
29510123100,123100,Census Tract 1231,928,10.67,3650,454,994,190,2556,470,598,201,91,72
29510104500,104500,Census Tract 1045,248,4.84,1597,262,1297,226,147,96,191,92,11,15
29510106100,106100,Census Tract 1061,796,18.97,1724,240,12,12,1679,229,709,213,231,110
29510126600,126600,Census Tract 1266,1263,7.13,3495,466,611,251,2878,429,1483,373,677,227
29510114102,114102,Census Tract 1141.02,874,2.63,4002,264,3871,253,116,105,289,160,0,11
29510116302,116302,Census Tract 1163.02,1203,18.37,2477,318,773,263,997,241,909,267,285,149
29510105500,105500,Census Tract 1055,745,11.95,2993,384,126,116,2800,398,942,392,379,195
29510116301,116301,Census Tract 1163.01,650,10,3608,418,2532,398,694,311,486,193,63,52
29510106400,106400,Census Tract 1064,758,17.55,2445,370,18,28,2397,373,737,253,236,139
29510119101,119101,Census Tract 1191.01,135,1.48,2587,275,1283,196,887,169,788,292,88,102
29510105200,105200,Census Tract 1052,393,13.99,2977,265,1278,201,1437,264,368,127,21,23
29510105300,105300,Census Tract 1053,694,11.67,2450,359,234,136,2102,307,698,214,164,106
29510114101,114101,Census Tract 1141.01,1026,7.41,4334,424,3138,332,870,360,769,393,110,113
29510127100,127100,Census Tract 1271,661,9.38,2024,247,67,53,1952,242,847,211,343,127
29510127200,127200,Census Tract 1272,660,4.09,4486,584,3212,347,900,613,626,229,77,93
29510105400,105400,Census Tract 1054,982,9.88,2337,322,221,132,1921,310,802,188,345,131
29510127300,127300,Census Tract 1273,883,7.47,3527,312,1328,235,2029,317,1092,319,219,146
29510125600,125600,Census Tract 1256,396,3.54,4185,463,1883,322,2026,443,495,314,124,184
29510127500,127500,Census Tract 1275,807,3.72,2489,268,472,89,1977,278,819,270,267,152
29510125700,125700,Census Tract 1257,1820,3.46,3752,484,38,40,3707,484,2450,562,1320,389
29510127600,127600,Census Tract 1276,351,4.56,3129,268,2469,266,547,227,307,133,10,13
29510123300,123300,Census Tract 1233,451,10.64,2920,251,2008,229,836,193,365,168,133,97
29510104200,104200,Census Tract 1042,268,5.97,3435,282,3017,243,193,133,403,185,74,66
29510103600,103600,Census Tract 1036,248,5.24,1448,155,1125,161,46,53,262,111,71,88
29510124100,124100,Census Tract 1241,1657,22.09,5304,690,1490,392,3219,587,2398,517,1100,351
29510105198,105198,Census Tract 1051.98,238,5.04,3483,337,2643,317,454,227,831,275,5,9
29510124200,124200,Census Tract 1242,1109,17.67,3382,517,931,228,2029,401,1375,369,515,223
29510124300,124300,Census Tract 1243,529,13.23,2964,249,2166,231,690,119,506,145,61,69
29510123200,123200,Census Tract 1232,409,3.42,2210,198,1447,155,640,125,425,112,85,40
29510124600,124600,Census Tract 1246,721,10.12,1943,194,644,128,1143,162,1197,212,422,124
29510125500,125500,Census Tract 1255,279,5.02,2903,316,1869,217,790,182,473,205,0,11
29510101800,101800,Census Tract 1018,713,13.88,3452,468,2160,317,1077,291,1044,338,382,254
29510106500,106500,Census Tract 1065,909,15.73,2852,364,133,73,2680,343,646,245,162,113
29510102100,102100,Census Tract 1021,491,3.26,2802,287,2294,260,319,214,260,104,30,45
29510102200,102200,Census Tract 1022,958,2.92,6367,351,6128,365,59,50,354,146,32,36
29510106600,106600,Census Tract 1066,640,23.28,1709,270,17,31,1683,273,878,238,257,114
29510103100,103100,Census Tract 1031,574,1.74,3220,255,2774,352,346,241,264,203,82,130
29510106300,106300,Census Tract 1063,702,16.95,1455,236,16,18,1406,235,432,186,119,88
29510107200,107200,Census Tract 1072,426,19.72,1156,212,6,10,1128,205,452,230,178,132
29510103400,103400,Census Tract 1034,363,4.41,1874,121,1798,122,43,38,190,83,39,50
